id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
35034572,Thought Incubator,Piedmont,45.57129,-122.6748,Entire home/apt,120,2,219,167,1.95,2026-05-24
35091759,Sellwood Haven- Private entrance,Sellwood-Moreland Improvement League,45.46811,-122.65106,Entire home/apt,177,2,106,277,3.52,2026-06-02
35155827,Large contemporary in a historic train station,Pearl,45.52852,-122.68147,Entire home/apt,284,31,304,8,0.12,2025-08-03
35158304,Our Guesthouse - Alberta Park - 2 bedrooms (queen),Vernon,45.56414,-122.64751,Entire home/apt,236,1,121,344,4.26,2026-06-14
35162879,"Private + Serene 
2 Bedroom Getaway
30 day minimum",Foster-Powell,45.49508,-122.59295,Entire home/apt,102,30,95,185,2.26,2024-09-15
35192098,Portland Vintage Hideaway,Hayhurst,45.47694,-122.72582,Entire home/apt,140,1,46,210,2.46,2025-12-28
35236468,Private Dog-Friendly Studio Near Downtown,Humboldt,45.56081,-122.67145,Entire home/apt,222,1,307,623,7.28,2026-06-07
35301751,"The Private Studio, Historic Hafner Haus at PSU",Portland Downtown,45.51601,-122.688,Entire home/apt,51,30,130,39,0.46,2024-06-09
35317415,Private studio close in SE Clinton/Division,Richmond,45.49851,-122.62998,Entire home/apt,156,3,19,41,0.50,2024-06-25
35318813,Ash Street Loft,Buckman,45.52054,-122.65354,Entire home/apt,135,1,239,425,5.29,2026-06-08
35318843,"Private guesthouse w/ yard, firepit, patio, loft",Humboldt,45.56225,-122.6767,Entire home/apt,143,2,185,290,3.39,2026-05-31
35345782,Willamette Boulevard Guest House,Overlook,45.56278,-122.68771,Entire home/apt,146,1,24,368,4.34,2026-06-07
35347247,"Bright, Modern SE Portland Guesthouse",Brentwood-Darlington,45.47201325615362,-122.59348258039782,Entire home/apt,85,30,302,2,0.16,2025-10-01
35387473,"Lovely NE bright hideaway, walk to food/beer/shops",Vernon,45.5648,-122.65126,Entire home/apt,229,2,277,253,2.99,2026-06-14
35390383,The Travelers Nest,North Tabor,45.52504,-122.61213,Entire home/apt,89,1,60,109,2.10,2026-06-04
35418187,Cozy Forest Yurt + Private Studio in Portland,Linnton,45.58365,-122.7753,Entire home/apt,109,2,317,157,1.88,2026-06-14
35486590,The Booty House,Montavilla,45.52873,-122.58766,Private room,113,1,284,165,2.02,2026-05-30
35519473,Heart of SE Portland Studio | A Quiet Haven,Brooklyn Action Corps,45.49906,-122.65305,Entire home/apt,122,2,353,164,2.12,2026-05-14
35548744,Stylish Vintage Retreat: Art+Vinyl+Fenced Yard+BBQ,Overlook,45.56107,-122.6895,Entire home/apt,265,1,96,327,3.88,2026-05-31
35605973,Cozy Sunnyside Flat in Historic Home,Sunnyside,45.5169,-122.62197,Entire home/apt,,30,21,2,0.03,2023-12-02
35621697,Retro Charm - Hawthorne - 2BR - Walkable,Buckman,45.512481689453125,-122.6462631225586,Entire home/apt,360,1,300,491,5.76,2026-06-01
35682143,Beautiful SW Portland Room and Bathroom!,Bridlemile,45.49114,-122.72302,Private room,51,30,265,64,0.75,2025-09-08
35682163,One Bedroom Retreat in the Heart of inner SE,Buckman,45.51806,-122.648,Entire home/apt,159,3,41,24,0.28,2023-04-10
35793276,Walk Everywhere from a Historic Home with A/C,Boise,45.55138,-122.67667,Entire home/apt,,28,0,35,0.41,2024-11-30
35849527,"Spacious 5,000+ sq ft house, Close to PDX Airport",Wilkes,45.53822,-122.49673,Entire home/apt,1142,2,336,76,0.90,2025-11-29
35907033,Cozy NE Suite minutes from Alberta Arts District,Concordia,45.57052,-122.62553,Entire home/apt,143,1,69,223,2.62,2026-05-31
35912999,Hawthorne Apartment LLC,Mt. Tabor,45.51277,-122.60863,Entire home/apt,,2,0,146,1.74,2026-02-16
35999782,The Loft: Modern Open space in Southeast Portland,Richmond,45.49967,-122.60913,Entire home/apt,155,1,17,397,4.76,2026-05-30
36000696,Cute and Classic Montavilla House,Montavilla,45.52292,-122.58219,Entire home/apt,,30,0,14,0.17,2022-03-20
