year,geo,purchase,unit,value,geo_label,purchase_label,unit_label
2023,EU27,DW_NEW,I15_A_AVG,152.38,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2024,EU27,DW_NEW,I15_A_AVG,162.74,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2025,EU27,DW_NEW,I15_A_AVG,170.66,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2005,NL,DW_NEW,I15_A_AVG,104.34,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2006,NL,DW_NEW,I15_A_AVG,107.72,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2007,NL,DW_NEW,I15_A_AVG,115.29,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2008,NL,DW_NEW,I15_A_AVG,114.38,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2009,NL,DW_NEW,I15_A_AVG,104.7,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2010,NL,DW_NEW,I15_A_AVG,105.5,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2011,NL,DW_NEW,I15_A_AVG,105.47,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2012,NL,DW_NEW,I15_A_AVG,97.03,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2013,NL,DW_NEW,I15_A_AVG,93.83,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2014,NL,DW_NEW,I15_A_AVG,93.87,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2015,NL,DW_NEW,I15_A_AVG,100.0,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2016,NL,DW_NEW,I15_A_AVG,104.03,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2017,NL,DW_NEW,I15_A_AVG,112.28,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2018,NL,DW_NEW,I15_A_AVG,123.46,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2019,NL,DW_NEW,I15_A_AVG,133.76,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2020,NL,DW_NEW,I15_A_AVG,145.51,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2021,NL,DW_NEW,I15_A_AVG,161.57,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2022,NL,DW_NEW,I15_A_AVG,182.43,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2023,NL,DW_NEW,I15_A_AVG,189.21,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2024,NL,DW_NEW,I15_A_AVG,195.13,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2025,NL,DW_NEW,I15_A_AVG,210.87,Netherlands,Purchases of newly built dwellings,"Annual average index, 2015=100"
2010,EU27,DW_NEW,I25_A_AVG,59.28,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2011,EU27,DW_NEW,I25_A_AVG,59.55,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2012,EU27,DW_NEW,I25_A_AVG,57.95,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2013,EU27,DW_NEW,I25_A_AVG,56.89,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2014,EU27,DW_NEW,I25_A_AVG,57.21,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2015,EU27,DW_NEW,I25_A_AVG,58.6,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2016,EU27,DW_NEW,I25_A_AVG,60.66,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2017,EU27,DW_NEW,I25_A_AVG,62.94,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2018,EU27,DW_NEW,I25_A_AVG,66.09,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2019,EU27,DW_NEW,I25_A_AVG,69.26,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2020,EU27,DW_NEW,I25_A_AVG,72.81,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2021,EU27,DW_NEW,I25_A_AVG,77.74,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2022,EU27,DW_NEW,I25_A_AVG,85.06,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2023,EU27,DW_NEW,I25_A_AVG,89.29,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2024,EU27,DW_NEW,I25_A_AVG,95.36,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2025,EU27,DW_NEW,I25_A_AVG,100.0,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2025=100"
2005,NL,DW_NEW,I25_A_AVG,49.48,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2006,NL,DW_NEW,I25_A_AVG,51.09,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2007,NL,DW_NEW,I25_A_AVG,54.68,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2008,NL,DW_NEW,I25_A_AVG,54.24,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2009,NL,DW_NEW,I25_A_AVG,49.66,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2010,NL,DW_NEW,I25_A_AVG,50.03,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2011,NL,DW_NEW,I25_A_AVG,50.02,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2012,NL,DW_NEW,I25_A_AVG,46.01,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2013,NL,DW_NEW,I25_A_AVG,44.5,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2014,NL,DW_NEW,I25_A_AVG,44.52,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2015,NL,DW_NEW,I25_A_AVG,47.42,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2016,NL,DW_NEW,I25_A_AVG,49.33,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2017,NL,DW_NEW,I25_A_AVG,53.25,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2018,NL,DW_NEW,I25_A_AVG,58.55,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
