county,states_count,states,county_rows,median_2br,min_2br,min_state,max_2br,max_state
Coos County,2,NH OR,2,1184,1173,OR,1195,NH
Covington County,2,AL MS,2,913,905,MS,921,AL
Craig County,2,OK VA,2,1202,940,OK,1464,VA
Crittenden County,2,AR KY,2,1105,909,KY,1301,AR
Crockett County,2,TN TX,2,1086,1078,TX,1093,TN
Crook County,2,OR WY,2,1195,999,WY,1390,OR
Curry County,2,NM OR,2,1265,1151,NM,1379,OR
Dade County,2,GA MO,2,1151,962,MO,1340,GA
Dakota County,2,MN NE,2,1464,1194,NE,1734,MN
Davidson County,2,NC TN,2,1443,1087,NC,1798,TN
Davis County,2,IA UT,2,1329,1066,IA,1591,UT
DeSoto County,2,FL MS,2,1195,1089,FL,1301,MS
Deuel County,2,NE SD,2,1014,1014,NE,1014,NE
Dewey County,2,OK SD,2,965,916,OK,1014,SD
Dorchester County,2,MD SC,2,1522,1159,MD,1884,SC
Dunn County,2,ND WI,2,1086,1042,WI,1130,ND
Duval County,2,FL TX,2,1386,1078,TX,1694,FL
Eddy County,2,ND NM,2,1133,1014,ND,1252,NM
Effingham County,2,GA IL,2,1305,930,IL,1679,GA
El Paso County,2,CO TX,2,1384,1146,TX,1621,CO
Elbert County,2,CO GA,2,1591,1013,GA,2169,CO
Elk County,2,KS PA,2,988,961,KS,1014,PA
Elmore County,2,AL ID,2,1218,1150,AL,1285,ID
Emmet County,2,IA MI,2,1132,927,IA,1336,MI
Escambia County,2,AL FL,2,1235,921,AL,1548,FL
Fairfield County,2,OH SC,2,1414,1226,SC,1602,OH
Fannin County,2,GA TX,2,1048,1002,GA,1093,TX
Fillmore County,2,MN NE,2,1014,1014,MN,1014,MN
Florence County,2,SC WI,2,1092,1063,WI,1121,SC
Ford County,2,IL KS,2,1008,930,IL,1085,KS
Forest County,2,PA WI,2,1014,1014,PA,1014,PA
Forsyth County,2,GA NC,2,1547,1332,NC,1762,GA
Frederick County,2,MD VA,2,1972,1505,VA,2438,MD
Genesee County,2,MI NY,2,1123,1113,NY,1133,MI
Gibson County,2,IN TN,2,1039,995,TN,1083,IN
Giles County,2,TN VA,2,1052,999,VA,1105,TN
Gilmer County,2,GA WV,2,996,944,WV,1047,GA
Gloucester County,2,NJ VA,2,1764,1667,VA,1860,NJ
Golden Valley County,2,MT ND,2,1288,1233,ND,1342,MT
Grady County,2,GA OK,2,1007,1002,GA,1011,OK
Grand County,2,CO UT,2,1660,1475,UT,1844,CO
Gray County,2,KS TX,2,1026,969,KS,1083,TX
Greeley County,2,KS NE,2,988,961,KS,1014,NE
Green County,2,KY WI,2,963,909,KY,1016,WI
Greenwood County,2,KS SC,2,923,885,SC,961,KS
Guadalupe County,2,NM TX,2,1228,1014,NM,1441,TX
Hale County,2,AL TX,2,1090,1014,TX,1165,AL
Halifax County,2,NC VA,2,978,943,VA,1012,NC
Hampshire County,2,MA WV,2,1770,1505,WV,2034,MA
Hardeman County,2,TN TX,2,1005,995,TN,1014,TX
Harding County,2,NM SD,2,1062,1059,NM,1064,SD
Harlan County,2,KY NE,2,962,909,KY,1014,NE
Harper County,2,KS OK,2,939,916,OK,961,KS
Harris County,2,GA TX,2,1355,1212,GA,1497,TX
Hart County,2,GA KY,2,956,909,KY,1002,GA
Haywood County,2,NC TN,2,1123,995,TN,1250,NC
Hickman County,2,KY TN,2,969,909,KY,1028,TN
Hidalgo County,2,NM TX,2,1016,1014,NM,1017,TX
Highland County,2,OH VA,2,973,943,VA,1003,OH
Hill County,2,MT TX,2,1195,1080,TX,1310,MT
Hillsborough County,2,FL NH,2,2043,1917,FL,2168,NH
Holt County,2,MO NE,2,988,962,MO,1014,NE
Hopkins County,2,KY TX,2,1082,959,KY,1205,TX
Hughes County,2,OK SD,2,1055,916,OK,1194,SD
Humphreys County,2,MS TN,2,980,905,MS,1055,TN
Huron County,2,MI OH,2,1009,1003,OH,1014,MI
Hutchinson County,2,SD TX,2,1014,1014,SD,1014,SD
Hyde County,2,NC SD,2,1013,1012,NC,1014,SD
Iowa County,2,IA WI,2,1010,927,IA,1093,WI
Jeff Davis County,2,GA TX,2,1040,1002,GA,1078,TX
Johnston County,2,NC OK,2,1303,916,OK,1689,NC
Kane County,2,IL UT,2,1784,1557,UT,2011,IL
Kendall County,2,IL TX,2,1996,1650,TX,2341,IL
King County,2,TX WA,2,1814,1078,TX,2549,WA
Kings County,2,CA NY,2,2242,1512,CA,2971,NY
La Salle County,2,IL TX,2,1063,1052,IL,1073,TX
Lane County,2,KS OR,2,1254,961,KS,1546,OR
Laurens County,2,GA SC,2,1063,1007,GA,1119,SC
Leon County,2,FL TX,2,1219,1014,TX,1424,FL
Limestone County,2,AL TX,2,1178,1014,TX,1341,AL
Louisa County,2,IA VA,2,1109,927,IA,1291,VA
Lucas County,2,IA OH,2,1048,951,IA,1145,OH
Marquette County,2,MI WI,2,1107,1014,WI,1199,MI
McDowell County,2,NC WV,2,978,944,WV,1012,NC
McHenry County,2,IL ND,2,1513,1014,ND,2011,IL
Mecklenburg County,2,NC VA,2,1373,960,VA,1785,NC
Medina County,2,OH TX,2,1253,1231,TX,1274,OH
Meigs County,2,OH TN,2,1024,1003,OH,1045,TN
Menard County,2,IL TX,2,1126,1014,TX,1237,IL
Menominee County,2,MI WI,2,1014,1014,MI,1014,MI
Midland County,2,MI TX,2,1500,1205,MI,1794,TX
Mills County,2,IA TX,2,1232,1014,TX,1450,IA
Mississippi County,2,AR MO,2,936,909,AR,962,MO
Morrow County,2,OH OR,2,1308,1014,OR,1602,OH
Morton County,2,KS ND,2,1014,961,KS,1067,ND
Nassau County,2,FL NY,2,2192,1694,FL,2689,NY
Nemaha County,2,KS NE,2,988,961,KS,1014,NE
Nevada County,2,AR CA,2,1421,956,AR,1885,CA
Nicholas County,2,KY WV,2,927,909,KY,944,WV
Northumberland County,2,PA VA,2,1198,1014,PA,1382,VA
Oconee County,2,GA SC,2,1090,894,SC,1285,GA
Oldham County,2,KY TX,2,1171,1065,TX,1276,KY
Orleans County,2,NY VT,2,1390,1363,VT,1416,NY
Otero County,2,CO NM,2,1037,1014,NM,1059,CO
Otsego County,2,MI NY,2,1214,1192,MI,1235,NY
Owen County,2,IN KY,2,1018,1014,IN,1022,KY
Page County,2,IA VA,2,940,927,IA,953,VA
Panola County,2,MS TX,2,1004,947,MS,1060,TX
Paulding County,2,GA OH,2,1383,1003,OH,1762,GA
Pendleton County,2,KY WV,2,1193,944,WV,1442,KY
Pennington County,2,MN SD,2,1286,1142,MN,1430,SD
Perkins County,2,NE SD,2,1022,1014,NE,1030,SD
Phelps County,2,MO NE,2,994,973,MO,1014,NE
Plymouth County,2,IA MA,2,1714,1018,IA,2409,MA
Pocahontas County,2,IA WV,2,936,927,IA,944,WV
Pontotoc County,2,MS OK,2,953,923,MS,982,OK
Portage County,2,OH WI,2,1154,1077,WI,1231,OH
Pottawatomie County,2,KS OK,2,1028,949,OK,1107,KS
Powell County,2,KY MT,2,1023,909,KY,1136,MT
Prairie County,2,AR MT,2,1231,909,AR,1552,MT
Quitman County,2,GA MS,2,954,905,MS,1002,GA
Ramsey County,2,MN ND,2,1374,1014,ND,1734,MN
Renville County,2,MN ND,2,1014,1014,MN,1014,MN
Rice County,2,KS MN,2,1094,961,KS,1226,MN
Ripley County,2,IN MO,2,1008,962,MO,1053,IN
Roane County,2,TN WV,2,996,944,WV,1048,TN
Roberts County,2,SD TX,2,1046,1014,SD,1078,TX
Roosevelt County,2,MT NM,2,1109,1014,NM,1203,MT
Rowan County,2,KY NC,2,1120,977,KY,1262,NC
Rush County,2,IN KS,2,988,961,KS,1014,IN
Rusk County,2,TX WI,2,1110,1014,WI,1205,TX
Rutherford County,2,NC TN,2,1405,1012,NC,1798,TN
San Miguel County,2,CO NM,2,1354,1077,NM,1631,CO
Santa Cruz County,2,AZ CA,2,2648,1041,AZ,4254,CA
