month,geo,unit,value,geo_label,unit_label
2025-06,EU27,I15,118.49,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-07,EU27,I15,119.12,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-08,EU27,I15,119.4,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-09,EU27,I15,119.55,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-10,EU27,I15,119.81,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-11,EU27,I15,120.16,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-12,EU27,I15,120.36,European Union - 27 countries (from 2020),"Index, 2015=100"
2009-12,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-01,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-02,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-03,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-04,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-05,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-06,NL,I15,85.08,Netherlands,"Index, 2015=100"
2010-07,NL,I15,86.48,Netherlands,"Index, 2015=100"
2010-08,NL,I15,86.48,Netherlands,"Index, 2015=100"
2010-09,NL,I15,86.48,Netherlands,"Index, 2015=100"
2010-10,NL,I15,86.48,Netherlands,"Index, 2015=100"
2010-11,NL,I15,86.48,Netherlands,"Index, 2015=100"
2010-12,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-01,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-02,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-03,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-04,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-05,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-06,NL,I15,86.48,Netherlands,"Index, 2015=100"
2011-07,NL,I15,88.02,Netherlands,"Index, 2015=100"
2011-08,NL,I15,88.02,Netherlands,"Index, 2015=100"
2011-09,NL,I15,88.02,Netherlands,"Index, 2015=100"
2011-10,NL,I15,88.02,Netherlands,"Index, 2015=100"
2011-11,NL,I15,88.02,Netherlands,"Index, 2015=100"
2011-12,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-01,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-02,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-03,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-04,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-05,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-06,NL,I15,88.02,Netherlands,"Index, 2015=100"
2012-07,NL,I15,90.52,Netherlands,"Index, 2015=100"
2012-08,NL,I15,90.52,Netherlands,"Index, 2015=100"
2012-09,NL,I15,90.52,Netherlands,"Index, 2015=100"
2012-10,NL,I15,90.52,Netherlands,"Index, 2015=100"
2012-11,NL,I15,90.52,Netherlands,"Index, 2015=100"
2012-12,NL,I15,90.52,Netherlands,"Index, 2015=100"
